Basin Length (ft),Basin Width (ft),Number of Baffles,PM Separation Efficiency (%),Cost($)
140,14,0,98.4,42416.88
140,14,1,99.9,42832.86
140,14,3,99.9,43664.82
140,14,5,99.9,44496.78
140,14,7,99.9,45328.74
140,14,9,99.9,46160.7
150,15,0,98.5,45500.93
150,15,1,99.9,45916.91
150,15,3,99.9,46748.87
150,15,5,99.9,47580.83
150,15,7,99.9,48412.79
150,15,9,99.9,49244.75
160,16,0,99.9,48592.2
160,16,1,99.9,49008.18
160,16,3,99.9,49840.14
160,16,5,99.9,50672.1
160,16,7,99.9,51504.06
160,16,9,99.9,52336.02
