,Max f_d,Avg f_d,Min f_d,Max f_d,Avg f_d,Min f_d,Max k_d,Avg k_d,Min k_d,Max k_d,Avg k_d,Min k_d,,,,,,,,,,,,,,,,,,
Rainfall/Runoff Event,(-),(-),(-),(-),(-),(-),(L/Kg),(L/Kg),(L/Kg),(L/Kg),(L/Kg),(L/Kg),,,,,,,,,,,,,,,,,,
20-Mar-08,,N/A,,,N/A,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,
16-May-08,0.8,0.59,0.03,0.88,0.63,0.17,6081,2649,442,238432,40545,2473,,,,,,,,,,,,,,,,,,
3-Jun-08,0.86,0.62,0.18,0.94,0.86,0.74,16075,5986,783,16929,8309,2774,,,,,,,,,,,,,,,,,,
10-Jun-08,0.86,0.61,0.28,0.95,0.79,0.53,49136,8499,922,58026,18007,1736,,,,,,,,,,,,,,,,,,
21-Jun-08,0.94,0.78,0.6,0.92,0.84,0.77,13267,5949,1863,31758,16132,4352,,,,,,,,,,,,,,,,,,
8-Jul-08,0.98,0.7,0.28,0.95,0.49,0.12,169741,27959,130,1067652,245035,4334,,,,,,,,,,,,,,,,,,
15-Jul-08,0.88,0.68,0.19,0.83,0.47,0.22,712830,56967,1459,641361,216575,21113,,,,,,,,,,,,,,,,,,
29-Jul-08,0.76,0.54,0.36,0.94,0.72,0.43,26303,11823,3070,66217,31158,4706,,,,,,,,,,,,,,,,,,
8-Aug-08,0.55,0.42,0.33,0.97,0.82,0.74,42068,15762,1862,88485,22878,3634,,,,,,,,,,,,,,,,,,
12-Aug-08,0.87,0.51,0.21,0.89,0.73,0.49,48369,16096,1347,118023,38854,12878,,,,,,,,,,,,,,,,,,
19-Aug-08,0.9,0.6,0.4,0.94,0.85,0.63,6441,4107,1387,49217,11497,1925,,,,,,,,,,,,,,,,,,
10-Sep-08,0.88,0.57,0.35,0.95,0.8,0.64,69455,12122,3235,54756,17753,2605,,,,,,,,,,,,,,,,,,
20-Sep-08,0.71,0.51,0.41,0.49,0.39,0.33,43929,17175,1962,160060,80577,36370,,,,,,,,,,,,,,,,,,
8-Oct-08,0.71,0.35,0.16,0.78,0.39,0.24,128927,32524,5838,323000,129569,12518,,,,,,,,,,,,,,,,,,
23-Oct-08,0.86,0.74,0.6,0.94,0.67,0.31,7872,2862,593,39586,15960,974,,,,,,,,,,,,,,,,,,
