Rainfall/Runoff event,Max Cl(-),Avg Cl(-),Min Cl(-),Max SO4(2-),Avg SO4(2-),Min SO4(2-),Max Turbidity,Avg Turbidity,Min Turbidity,Max COD,Avg COD,Min COD,Max DOC,Avg DOC,Min DOC
Date in 2008,[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[NTU],[NTU],[NTU],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L]
20-Mar-08,24718,1241,2741,2874,1400,39,116,52,4,79,60,30,28,17,7
16-May-08,10136,6795,3475,6496,7473,719,132,74,13,310,134,38,121,30,8
3-Jun-08,29849,23392,17948,66358,50398,41033,47,36,21,231,169,136,78,67,43
10-Jun-08,11948,946,13,21693,2944,118,89,14,3,235,38,20,59,9,4
21-Jun-08,2249,1502,637,24737,8399,211,63,25,4,121,70,9,68,25,7
8-Jul-08,2930,506,47,17579,1586,0,41,6,1,60,21,15,21,4,1
15-Jul-08,2138,885,383,27140,8758,88,22,4,1,61,11,0,15,3,2
29-Jul-08,4138,2809,1755,25119,8191,216,66,20,4,111,71,28,66,32,12
8-Aug-08,6475,4815,2785,26418,15681,7987,25,17,5,124,113,101,51,45,24
12-Aug-08,5916,1524,954,25498,5886,117,22,7,1,99,29,11,45,9,3
19-Aug-08,3282,1673,877,17619,3179,0,77,45,12,51,24,9,60,22,6
10-Sep-08,5346,1514,392,23745,405,0,62,26,8,208,58,7,79,26,8
20-Sep-08,8436,4796,2930,20693,14426,6959,84,52,13,116,91,70,49,37,26
8-Oct-08,30033,8722,1874,27543,7404,152,114,49,12,224,123,29,101,50,14
23-Oct-08,38913,30401,2949,44716,14436,3067,57,32,16,139,96,31,49,30,2
