Rainfall/Runoff Event,Max NH3(-)-N [?g/L],Avg NH3(-)-N [?g/L],Min NH3(-)-N [?g/L],Max NH3-N [?g/L],Avg NH3-N [?g/L],Min NH3-N [?g/L],Max TDN [?g/L],Avg TDN [?g/L],Min TDN [?g/L],Max Sediment TN [?g/L],Avg Sediment TN [?g/L],Min Sediment TN [?g/L],Max Settleable TN [?g/L],Avg Settleable TN [?g/L],Min Settleable TN [?g/L],Max Suspended TN [?g/L],Avg Suspended TN [?g/L],Min Suspended TN [?g/L],Max TN [?g/L],Avg TN [?g/L],Min TN [?g/L],Max NH2(-)-N [?g/L],Avg NH2(-)-N [?g/L],Min NH2(-)-N [?g/L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Mar-08,22697,9385,2052,396,296,108,7104,5557,3142,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-May-08,27533,2434,0,1421,66,0,84580,4738,1420,203,95,25,524,228,2,21339,2238,448,106324,6737,2217,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jun-08,1557,782,170,57,29,3,27132,8533,1794,104,45,9,318,162,17,1838,786,147,29314,9474,2037,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun-08,1140,802,581,470,162,0,14207,4785,2195,206,66,18,579,236,76,1791,916,223,16659,5969,3814,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun-08,1128,866,509,286,186,102,4322,3689,2483,37,25,10,124,82,25,1149,555,230,5632,4345,3101,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul-08,8761,945,243,477,27,2,12436,1048,192,68,25,4,146,25,3,3910,1237,16,15118,2326,392,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul-08,1615,488,66,516,59,21,2628,816,256,100,21,6,83,22,9,1683,870,224,4051,1707,1175,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jul-08,1770,752,199,477,72,0,5879,2820,1152,67,38,11,260,59,9,6182,1590,91,11131,4477,1477,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug-08,3783,1791,199,427,149,11,5385,4385,2657,109,58,4,45,22,8,1416,661,64,6062,5101,3419,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug-08,1075,873,241,175,8,0,2545,1103,449,146,82,2,256,175,8,479,329,63,2891,1666,707,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-08,1615,885,553,1142,319,3,7844,5539,629,192,75,7,303,142,8,689,416,63,8491,6114,709,1.4,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep-08,835,545,50,1698,104,15,6454,1605,638,120,51,16,236,48,8,485,207,102,6818,1927,990,8.1,2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep-08,1954,804,52,2226,575,15,4288,1943,852,102,67,30,1155,561,63,1934,1016,465,6711,3579,2109,3.4,1.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct-08,2241,866,118,1416,92,24,5077,1432,357,16,67,33,331,189,64,1709,1023,128,5852,2669,1244,176.7,28.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Oct-08,896,292,118,2281,268,67,4419,1844,610,228,85,19,83,53,2,2413,1151,110,5019,3107,981,1.8,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
