Rainfall/Runoff event,Max TDP,Avg TDP,Min TDP,Max Sediment TP,Avg Sediment TP,Min Sediment TP,Max Settleable TP,Avg Settleable TP,Min Settleable TP,Max Suspended TP,Avg Suspended TP,Min Suspended TP,Max TP,Avg TP,Min TP
Date in 2008,[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L]
20-Mar-08,202,144,111,270,185,80,1379,429,0,373,304,225,2135,1063,424
16-May-08,461,135,49,935,429,88,1838,774,0,1298,851,200,4155,2189,200
3-Jun-08,87,67,50,93,44,21,265,136,9,607,489,364,947,736,480
10-Jun-08,393,227,54,294,85,52,701,266,63,462,325,191,1597,903,402
21-Jun-08,147,126,89,139,89,35,193,126,21,377,292,205,788,633,363
8-Jul-08,221,146,98,180,102,35,0,0,0,1731,1257,647,2006,1505,895
15-Jul-08,301,187,51,138,59,11,271,90,55,1008,681,289,1665,1017,605
29-Jul-08,733,497,274,226,97,35,578,279,104,1908,1199,458,3118,2072,1012
8-Aug-08,146,105,36,145,93,7,21,4,0,1148,776,594,1413,977,810
12-Aug-08,654,357,137,505,187,2,625,124,18,857,427,153,1981,1096,416
19-Aug-08,539,360,245,437,99,7,485,244,63,1740,890,330,2677,1594,763
10-Sep-08,424,299,113,147,76,40,410,32,0,1093,443,141,1904,850,455
20-Sep-08,424,255,174,157,89,20,250,104,0,577,429,199,1234,878,469
8-Oct-08,514,208,110,224,92,32,289,134,0,1245,705,145,2147,1139,490
23-Oct-08,349,87,26,321,106,41,170,15,0,773,462,266,1155,671,406
