Rainfall/Runoff event,Max Sediment,Avg Sediment,Min Sediment,Max Settleable,Avg Settleable,Min Settleable,Max SSC,Avg SSC,Min SSC,Max TSS,Avg TSS,Min TSS,Max VSSC/SSC,Avg VSSC/SSC,Min VSSC/SSC
Date in 2008,[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[%],[%],[%]
20-Mar-08,3136.8,718.1,18.1,177.2,50.8,6.6,606.7,262.1,22,37.5,27.5,16,53.9,46.4,37.5
16-May-08,1980.7,847.7,14.5,305.7,137.8,11.3,1319.6,413.4,20,160.5,65.4,19,83.1,43.9,19.9
3-Jun-08,6032,1835.5,1.2,594.7,159,4.8,4886.4,1492.4,31.7,110.1,55.4,26.4,84.5,60.2,47.9
10-Jun-08,2127,819.4,8.9,437.8,95.5,10.1,1570.6,359.3,23.8,532,87.7,14.5,97.6,53.7,29.4
21-Jun-08,499,296.1,3,72.5,43.5,3.2,1271.5,731.9,12.4,87.7,59.8,7.8,78.8,60.9,41.8
8-Jul-08,633.6,102,7.1,147.9,22.1,5.1,988.4,111.2,7,77.3,15.3,5.8,62.3,34,17.1
15-Jul-08,548.9,57.5,3.5,84,16,5.8,803.4,86.3,8.5,40.6,15.8,3.2,49.4,29.9,12.1
29-Jul-08,627.2,302.1,11.1,918.8,202.3,4.6,4955.5,1207.7,19,96.3,46.9,10.2,60.1,50.6,24.2
8-Aug-08,1405.9,422.2,25.5,117.8,21.2,5.2,10450,1022.7,30.2,162.2,84.6,14.6,49.5,42.2,8.4
12-Aug-08,1162.9,292.6,19.7,55,28.5,5.9,2987.5,336.9,18.9,90,28.5,8.1,59.6,46.5,5.2
19-Aug-08,1463.4,401.7,22.9,346.1,133.4,12,1736.9,509.3,29.8,104.6,60.7,17.1,65.4,43.9,18.2
10-Sep-08,773.3,230,16,101.6,53.1,5.7,541.3,334.5,20.4,144.2,46,12.8,73.2,53.7,33.5
20-Sep-08,813.1,163.7,25.3,171,78.1,10.8,2325.7,571.2,49.5,163.3,95.7,20.4,71.9,47.2,26
8-Oct-08,404.7,144,10.1,246,109.4,5.7,1450.6,287,67.2,180,68.6,10,72.6,54.8,40.7
23-Oct-08,676.6,159.1,4.9,97.8,26.6,4.3,14262.9,947.9,22.8,149.7,79.8,19.7,83.7,54.3,4
