Rainfall/Runoff event,Max Cl(-),Avg Cl(-),Min Cl(-),Max SO4(2-),Avg SO4(2-),Min SO4(2-),Max Turbidity,Avg Turbidity,Min Turbidity,Max COD,Avg COD,Min COD,Max DOC,Avg DOC,Min DOC
Date in 2008,[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[NTU],[NTU],[NTU],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L]
20-Mar-08,28341,10280,2425,23612,8468,39,220.7,75.1,9.1,236.9,81.1,28.8,40.1,18.3,9
16-May-08,38857,8041,3322,32431,3484,118,420.8,123.6,42.4,1723.1,259,71.3,220.6,22.7,2.5
3-Jun-08,32980,22619,17144,22421,11337,472,279.3,104,14.6,332.5,208,143.8,191.6,110,65.5
10-Jun-08,30398,3520,166,15182,7058,0,404.5,68,7.8,652.5,104.5,25,190.2,26.8,4.9
21-Jun-08,2717,1467,375,11298,2106,0,77.4,52.7,6.4,108.8,44.1,11.3,61.9,31.2,12.6
8-Jul-08,2555,631,0,8649,512,35,130,12.3,1.8,88.1,35.1,28.2,33.2,2.8,1.2
15-Jul-08,3533,558,207,32579,3649,474,47.8,9.8,3.1,92.5,18.2,6.3,26.3,2.7,1.6
29-Jul-08,7215,3547,1569,17413,5769,22,241.3,80,12.8,171.3,87.1,30,75.6,37.3,11.8
8-Aug-08,1214,532,328,5411,877,0,261.3,71.5,12.7,155,118,101.3,82.4,55,33.5
12-Aug-08,59946,2178,818,27500,8783,325,127.3,30.6,6.6,501.3,36,13.8,148.2,10.9,3.4
19-Aug-08,3748,1462,816,3355,51,0,332.5,162.3,29.2,58.8,22.4,10,26.5,10.8,6.1
10-Sep-08,23619,1998,381,52294,2965,65,159.8,64.6,17.3,628.8,66.2,12.5,242.6,242.6,7.2
20-Sep-08,15163,6804,2858,16807,4761,87,227.8,130.8,22.7,187.5,110.1,58.8,88.1,53.4,28
8-Oct-08,39035,8141,948,22121,4402,43,278,125.7,14.8,291.3,103.8,27.5,196.8,50.1,16.8
23-Oct-08,59417,26700,8939,36028,15183,851,191,96.6,16.7,250,101.3,16.8,180,56.3,16.2
