Rainfall/Runoff event,Max pH,Avg pH,Min pH,Max Redox,Avg Redox,Min Redox,Max D.O.,Avg D.O.,Min D.O.,Max Temperature,Avg Temperature,Min Temperature,Max Conductivity,Avg Conductivity,Min Conductivity,Max Salinity,Avg Salinity,Min Salinity,Max TDS,Avg TDS,Min TDS,Max Alkalinity,Avg Alkalinity,Min Alkalinity
Date in 2008,[s.u.],[s.u.],[s.u.],[mV],[mV],[mV],[mg/L],[mg/L],[mg/L],[?S/cm],[?S/cm],[?S/cm],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],[mg/L],as CaCO3 [mg/L],as CaCO3 [mg/L],as CaCO3 [mg/L]
20-Mar-08,7.6,7.4,7.2,369.7,351.6,343.5,8.4,7.5,5.8,22.5,22.2,22.0,150.4,83.6,44.9,50.0,9.9,NA,73.8,40.7,22,56,26.8,10
16-May-08,7.2,7.0,6.4,295.4,226.9,24.1,5.2,3.9,0.2,24.0,23.4,22.3,552.5,86.0,46.6,300.0,24.1,NA,272,42.6,22.5,171,36.3,24
3-Jun-08,7.4,7.2,7.0,377.4,366.9,360.4,5.5,3.6,1.4,28.5,27.8,26.8,343.0,200.9,130.9,150.0,110.5,100.0,168,98.6,64,108,56.7,26
10-Jun-08,7.6,7.3,6.9,385.0,372.0,349.6,7.4,6.6,5.6,23.0,22.6,21.9,273.2,56.1,27.7,100.0,7.4,NA,134,27.5,14,119,20.4,9
21-Jun-08,8.2,7.9,7.4,356.0,350.2,347.8,7.2,5.8,4.6,24.2,23.7,22.8,161.0,72.1,37.2,100.0,14.9,NA,79.5,35.3,18.5,54,43.4,16.5
8-Jul-08,8.4,7.7,7.5,546.3,344.5,318.8,7.7,6.3,5.2,23.0,22.0,21.8,131.1,15.7,8.0,100.0,1.0,NA,64,7.7,4,62,10.6,7
15-Jul-08,7.8,7.1,6.8,432.9,390.0,373.5,8.4,7.5,3.2,22.9,22.5,22.4,126.8,13.0,7.6,100.0,0.1,NA,62,6.5,4,52,9.5,5
29-Jul-08,7.6,7.3,6.9,488.2,427.1,406.9,5.0,4.1,3.1,27.6,26.8,26.0,228.9,98.8,39.4,100.0,35.6,NA,116.5,49.3,19,60,30.9,17
8-Aug-08,7.6,7.5,7.2,461.3,415.8,396.1,8.5,7.1,5.3,25.4,24.9,24.1,160.6,95.8,82.5,100.0,11.1,NA,78.5,47,40.5,54.7,40.2,34.4
12-Aug-08,7.6,7.4,6.5,397.5,369.7,332.8,6.0,5.4,1.2,23.1,22.6,22.5,435.5,36.3,23.5,150.0,2.3,NA,211,17.8,11.5,85,21.1,14
19-Aug-08,8.5,8.4,7.2,328.9,278.0,242.7,9.2,7.1,5.7,23.3,22.9,22.9,111.5,44.5,30.5,100.0,3.5,NA,54.3,21.7,15,49,38.9,18
10-Sep-08,8.0,7.7,6.8,464.3,268.1,235.1,6.8,6.2,4.5,28.8,24.6,23.4,276.2,72.0,43.8,100.0,16.8,NA,135.5,34.9,21,66,26.4,18
20-Sep-08,7.0,7.4,8.0,246.4,227.2,217.0,5.2,5.0,4.1,22.8,22.5,22.1,199.1,109.3,73.2,100.0,37.9,NA,97.5,53.5,35.5,76,48.3,25
8-Oct-08,7.9,7.5,5.4,439.8,323.8,308.9,7.7,6.9,4.3,25.0,25.0,25.0,342.0,107.8,53.4,200.0,39.9,NA,167,52.8,26,85,35.5,18
23-Oct-08,7.6,7.1,6.8,346.7,307.8,292.6,7.7,6.1,2.3,20.4,19.7,19.3,532.0,214.9,114.5,250.0,111.0,100.0,260.5,105.4,56,59,39.6,30
