Rainfall-runoff event,Max Sodium [?g/L],Avg Sodium [?g/L],Min Sodium [?g/L],Max Magnesium [?g/L],Avg Magnesium [?g/L],Min Magnesium [?g/L],Max Calcium [?g/L],Avg Calcium [?g/L],Min Calcium [?g/L],Max Copper [?g/L],Avg Copper [?g/L],Min Copper [?g/L],Max Zinc [?g/L],Avg Zinc [?g/L],Min Zinc [?g/L],Max Lead [?g/L],Avg Lead [?g/L],Min Lead [?g/L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Mar,12790,4720,1210,3677,1973,974,23392,13206,7310,29,10,0,106,59,30,3677,19,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-May,,NA,,9992,1793,809,64310,13860,7209,105,31,15,230,40,17,29,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jun,2545,1711,1135,7238,4646,3286,43911,28191,20447,55,32,17,149,86,53,22,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,2895,649,134,6867,1372,624,38306,9123,4527,181,47,14,175,40,20,30,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,1360,649,287,3267,1683,776,24666,12982,6792,23,11,6,64,33,16,26,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,6300,2167,65,5280,421,255,24903,3910,1301,36,5,1,229,17,7,33,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul,5065,424,112,2605,338,219,21046,2932,1837,23,3,1,143,36,21,33,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jul,3655,1527,476,4434,2503,1103,31840,17271,8321,107,32,5,232,104,38,117,100,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,4180,1198,424,3980,2524,2082,26915,20419,17584,101,24,9,237,108,75,150,101,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug,4560,551,281,7863,1068,554,41722,7488,5075,52,9,5,357,37,25,34,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug,4075,2838,1820,1987,855,586,12689,7486,5570,41,25,15,40,22,17,13,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,7960,1668,682,9136,1773,1098,43518,10590,7480,81,14,9,498,37,19,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep,5705,2736,443,4002,2644,1879,25103,17617,12977,93,47,29,140,67,34,73,48,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,4140,1534,649,6715,2381,1213,34113,16223,9440,127,44,19,248,67,29,71,45,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Oct,94600,24198,6715,8881,3517,1639,45596,21779,11786,114,40,19,164,63,26,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
