Rainfall/Runoff event,Max TDP,Avg TDP,Min TDP,Max Sediment TP,Avg Sediment TP,Min Sediment TP,Max Settleable TP,Avg Settleable TP,Min Settleable TP,Max Suspended TP,Avg Suspended TP,Min Suspended TP,Max TP,Avg TP,Min TP
Date in 2008,[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L],[?g/L]
20-Mar-08,1428,789,510,7778,1860,171,1782,533,122,1203,497,151,12191,3673,966
16-May-08,1523,517,302,2999,1693,742,2994,1371,115,2223,794,267,6988,4375,1964
3-Jun-08,1767,1352,734,7564,2418,139,5764,1534,52,2083,1187,722,17178,6491,1675
10-Jun-08,4488,942,270,5440,2008,134,5772,940,69,6039,1143,310,17224,5032,872
21-Jun-08,396,245,216,1281,828,147,750,465,68,574,455,235,2814,1994,795
8-Jul-08,553,222,144,3423,598,121,1171,67,409,2053,1319,473,7200,2206,1646
15-Jul-08,1822,476,216,841,296,36,523,193,80,1973,802,232,4514,1767,685
29-Jul-08,4896,2663,1071,2868,1188,59,2787,1003,182,2726,1341,477,11743,6196,2594
8-Aug-08,939,579,483,4562,1510,65,283,29,0,1908,1089,687,7563,3206,1495
12-Aug-08,4533,1022,397,4840,1499,126,3776,729,250,1231,494,164,10738,3744,1242
19-Aug-08,986,410,338,2480,1231,747,1717,1271,143,3917,1367,322,8866,4278,1820
10-Sep-08,4394,754,523,2709,822,125,1249,558,303,3964,1093,374,10215,3228,1292
20-Sep-08,955,623,472,2029,519,135,1459,557,104,1279,625,146,5721,2324,995
8-Oct-08,4417,996,567,598,392,58,1696,677,53,1495,790,414,7751,2855,1244
23-Oct-08,1078,468,191,1392,520,36,975,254,81,1609,788,259,5012,2030,664
