Rainfall/Runoff event,Alkalinity (CaCO3) [mg/L],pH [s.u.],Redox [mV],DO [mg/L],Temperature [C],Conductivity [uS/cm],Salinity [ppt],TDS [mg/L]
20-Mar-08,2,4.7,388.5,8.6,22.5,69.7,0,35
16-May-08,1,4.6,415.7,8.2,17.1,21.1,0,10
3-Jun-08,6,4.9,322.2,6.3,23.9,22.1,0.1,10.8
10-Jun-08,4,4.9,280.6,4.7,22,10,0,5
21-Jun-08,2,4.9,329,7.5,22.5,9.3,0,5
8-Jul-08,5.8,4.8,426.4,6.6,21.5,4.4,0,2
15-Jul-08,1,4.6,559.1,5.3,23,8.4,0,4
29-Jul-08,2,4.7,377.1,4.8,22.9,36.1,0,18
8-Aug-08,2,4.3,362.1,5.6,21.4,17.9,0,9
12-Aug-08,1,4.3,386.6,8.2,22.8,6.9,0,3
19-Aug-08,0,4.3,363.4,5.4,22.8,6.9,0,3
10-Sep-08,0,4.5,383.8,6.5,22.9,7.9,0,4
20-Sep-08,0,4.4,396,6.5,23.1,26,0,13
8-Oct-08,0,4.2,433.3,8.8,21.1,17.6,0,9
23-Oct-08,1,4.6,489.8,8.8,21.6,51.9,0,25
