Inter-event retention period,Max NH3-N [?g/L],Avg NH3-N [?g/L],Min NH3-N [?g/L],Max TDP [?g/L],Avg TDP [?g/L],Min TDP [?g/L],Max NH3(-)-N [?g/L],Avg NH3(-)-N [?g/L],Min NH3(-)-N [?g/L],Max SO4(2-) [?g/L],Avg SO4(2-) [?g/L],Min SO4(2-) [?g/L],Max Cl- [?g/L],Avg Cl- [?g/L],Min Cl- [?g/L],Max NH2(-) -N [?g/L],Avg NH2(-) -N [?g/L],Min NH2(-) -N [?g/L],Max COD [?g/L],Avg COD [?g/L],Min COD [?g/L],Max TDN [?g/L],Avg TDN [?g/L],Min TDN [?g/L],Max DOC [?g/L],Avg DOC [?g/L],Min DOC [?g/L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Mar-08,846,323,15,394,281,194,21318,9282,1045,24615,12761,5308,32,20,6,,N/A,,45,20,3,23952,14628,5689,14.5,9.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-May-08,2795,983,0,972,620,234,4500,2854,500,49346,36496,15769,28,20,13,,N/A,,73,50,40,12395,10067,6527,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jun-08,1167,375,11,577,373,128,1455,909,227,39692,36766,27962,29,19,9,,N/A,,168,148,133,4638,3290,2511,63,51.6,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun-08,666,314,2,705,574,389,6903,2092,0,1269,187,0,50,30,15,,N/A,,275,148,50,15902,6764,2626,68.7,36.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun-08,2465,495,5,1785,654,168,545,236,45,4654,1021,77,54,38,13,,N/A,,138,89,33,3526,2561,1218,41.3,21.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul-08,1490,880,381,905,521,200,2455,1558,773,2500,2029,1731,61,33,11,,N/A,,45,17,3,3205,2738,2500,71,26.5,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul-08,484,259,15,1252,775,359,1773,939,45,1607,372,0,41,27,10,,N/A,,78,44,8,3205,2601,1923,390.9,168.3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jul-08,1615,728,40,1822,821,45,2136,459,0,2107,714,0,43,28,13,,N/A,,505,250,55,5255,3905,2194,49.8,19,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug-08,1720,998,15,2052,1502,497,1000,409,0,1393,452,0,42,25,14,,N/A,,140,128,113,2395,1843,1138,26.1,19.2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug-08,2614,997,2,5517,3586,1745,2136,821,0,3607,759,0,38,16,6,,N/A,,163,77,18,3593,2545,2036,142,64.8,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-08,4956,1487,9,5314,3160,562,2091,415,0,2393,484,0,24,16,7,1.1,0.1,0,205,136,5,5818,3235,1818,47.7,21.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep-08,4990,1707,176,3895,2398,572,2000,286,0,714,141,0,33,12,2,1.1,0.1,0,303,151,40,5629,3064,1617,46.2,22.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep-08,2084,957,253,2010,1497,790,2182,374,0,357,27,0,42,27,12,2.3,0.5,0,313,197,23,3010,2418,1735,31.4,21.2,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct-08,1839,600,29,1936,1319,576,1840,677,47,2036,263,0,13,8,1,2.7,1.1,0.1,78,63,48,2857,2201,1531,33.2,18.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Oct-08,735,297,29,1774,998,257,991,139,0,422,46,0,32,25,19,7.7,1.6,0.1,368,207,15,2449,1929,1582,24.1,14.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
