Basin Length (ft),Basin Width (ft),Number of Baffles,PM Separation Efficiency (%),Cost($)
140,14,0,98.4,77528.23
140,14,1,99.9,77944.21
140,14,3,99.9,78776.17
140,14,5,99.9,79608.13
140,14,7,99.9,80440.09
140,14,9,99.9,81272.05
145,14.5,0,98.46,80868.65
145,14.5,1,99.9,81284.63
145,14.5,3,99.9,82116.59
145,14.5,5,99.9,82948.55
145,14.5,7,99.9,83780.51
145,14.5,9,99.9,84612.47
150,15,0,98.5,84387.24
150,15,1,99.9,84803.22
150,15,3,99.9,85635.18
150,15,5,99.9,86467.14
150,15,7,99.9,87299.1
150,15,9,99.9,88131.06
155,15.5,0,99.9,88660.42
155,15.5,1,99.9,89076.4
155,15.5,3,99.9,89908.36
155,15.5,5,99.9,90740.32
155,15.5,7,99.9,91572.28
155,15.5,9,99.9,92404.24
160,16,0,99.9,92306.4
160,16,1,99.9,92722.38
160,16,3,99.9,93554.34
160,16,5,99.9,94386.3
160,16,7,99.9,95218.26
160,16,9,99.9,96050.22
165,16.5,0,99.9,96015.92
165,16.5,1,99.9,96431.9
165,16.5,3,99.9,97263.86
165,16.5,5,99.9,98095.82
165,16.5,7,99.9,98927.78
165,16.5,9,99.9,99759.74
170,17,0,99.9,99788.98
170,17,1,99.9,100204.96
170,17,3,99.9,101036.92
170,17,5,99.9,101868.88
170,17,7,99.9,102700.84
170,17,9,99.9,103532.8
175,17.5,0,99.9,103395.74
175,17.5,1,99.9,103811.72
175,17.5,3,99.9,104643.68
175,17.5,5,99.9,105475.64
175,17.5,7,99.9,106307.6
175,17.5,9,99.9,107139.56
180,18,0,99.9,107410.81
180,18,1,99.9,107826.79
180,18,3,99.9,108658.75
180,18,5,99.9,109490.71
180,18,7,99.9,110322.67
180,18,9,99.9,111154.63
